source_id,canonical_tag,asset_type,legacy_or_conflicting_tags,system,location,normal_service,instrumentation_notes,known_conflict,controlling_rule,record_status,trace_notes
AS-001,CHWP-2,centrifugal pump,CHW-P2; P-402; CHWP02; CHWP-2A planning tag,secondary chilled water,North mechanical room bay B,variable-speed secondary loop pump,uses FT-CHW2 and PT-CHW2-S/D,old PM sheet lists P-402 as active asset,"canonical tag controls pump body, seal, strainer and TDH records",active,aliases must not be counted as separate pumps
AS-002,M-CHWP-2,460 V motor,MTR-402; MCHWP2; motor 402,secondary chilled water,North mechanical room bay B,75 hp inverter duty motor,current shown by BAS point AI-MTR402-A,CMMS WO-92034 entered under MTR-402 for alignment work,motor tag controls motor-only readings,active,alignment reports include motor as movable machine
AS-003,CPL-CHWP-2,jaw coupling,CPL-402; L-150 coupling; orange spider set,pump train,between CHWP-2 and M-CHWP-2,flexible coupling,no sensor,coupling spider replaced without laser acceptance,coupling status separate from alignment status,active,spider issue verifies part replacement only
AS-004,STR-CHW2,suction strainer,STR-402; CHW2 basket,secondary chilled water,upstream of CHWP-2,basket strainer,DP taps PT-STR2-U and PT-STR2-D added 2026-08-09 13:10,early operator notes mention restriction before DP taps existed,no measured strainer DP before both taps installed,active,DP calculated as upstream minus downstream psi
AS-005,FT-CHW2,magnetic flow transmitter,FT-402; CHW-FLOW-2; AI-4027,secondary chilled water,discharge header,0-1800 gpm design loop,field transmitter 4-20 mA = 0-1800 gpm; BAS scale used 0-2400 gpm until 2026-08-12 09:30,pre-correction BAS flow overstates flow by factor 2400/1800,ultrasonic or rescaled values control before correction,active,post-correction BAS may be used directly if within meter tolerance
AS-006,TT-CHWP2-DE,bearing temperature point,TT-CT4FAN-DE; CHWP2-DE-BRG,condition monitoring,CHWP-2 drive-end bearing housing,RTD route and BAS display,BAS display mislabeled as CT-4 fan DE until WO-92018,hot bearing initially attributed to tower fan gearbox,physical route point controls temperature location,active,do not assign high temperature to GB-CT4
AS-007,HX-2,plate heat exchanger,PHE-2; HX402,chilled water decoupler / heat exchanger,mechanical room west rack,plate heat exchanger isolation path,DP uses PT-HX2-IN and PT-HX2-OUT,CMMS states flush completed but DP remained high,BAS differential pressure controls fouling status,active,requires clean baseline after backflush
AS-008,CT-4,cooling tower cell,CT04; tower cell 4,condenser water heat rejection,roof level north bank,open cooling tower cell,approach from basin supply and wet bulb readings,tower approach blamed for pump vibration,tower evidence controls approach only if aligned to timing,active,approach cannot prove pump mechanical fault
AS-009,GB-CT4,tower fan gearbox,GB-404; CT4 gearbox; CT-4 fan drive,cooling tower fan,CT-4 fan deck,right-angle gearbox,route points GB4-H and GB4-V,mislabeled TT point made gearbox appear hot,gearbox vibration route controls gearbox condition,active,oil top-off does not equal rebuild
AS-010,BV-410,tower bypass valve,BV-CT4; bypass valve 410; TV-410,tower bypass loop,condenser water bypass line,modulating bypass valve,BAS command and feedback only; no stroke calibration in asset record,trend position treated as mechanical stroke verification in one WO,trend position is diagnostic only without stroke verification,active,valve kit in stock does not prove rebuild
AS-011,SFP-CHW2,seal-flush panel,SFP-402; flush station 2,pump seal water,near CHWP-2 coupling guard,filtered flush to mechanical seal,local gauge GF-CHW2 installed 2026-08-08 15:20,flush pressure before gauge installation is missing,do not backfill flush pressure before gauge existed,active,minimum from local specification table in alignment report
AS-012,VLV-CHW2-ISO-S,suction isolation valve,SIV-402; CHWP2 suction valve,secondary chilled water,CHWP-2 suction pipe,butterfly valve,visual position only,one WO claims full stroke from handle position,visual handle position is not stroke verification,active,not a final status row unless conflict remains
AS-013,VLV-CHW2-ISO-D,discharge isolation valve,DIV-402; CHWP2 discharge valve,secondary chilled water,CHWP-2 discharge pipe,butterfly valve,visual position only,none,asset tag crosswalk only,active,included for isolation history
AS-014,LT-CT4-BASIN,basin level transmitter,LT-404; basin level 4,cooling tower,CT-4 basin,basin level monitoring,calibrated 0-100 percent,low basin blamed for chiller trip but level not low at trip time,BAS level trend controls timing,active,tower low-level alarm independent of pump vibration
AS-015,COND-CT4,conductivity sensor,COND404; CT4 cond,cooling tower water treatment,CT-4 basin return,conductivity and cycles control,conductivity recorded in microS/cm,blowdown valve status disagrees with chemistry log,tower log and BAS together control tower water conclusions,active,DOE BMP 10 reference supports cooling tower water management
AS-016,PT-CHW2-S,instrument or isolation point,legacy-PT-CHW2-S,instrumentation,mechanical or roof level,measurement or isolation support,record used for calculations or LOTO cross-check,none unless referenced by work order,trace identity support,active,supporting asset
AS-017,PT-CHW2-D,instrument or isolation point,none,instrumentation,mechanical or roof level,measurement or isolation support,record used for calculations or LOTO cross-check,none unless referenced by work order,trace identity support,active,supporting asset
AS-018,PT-STR2-U,instrument or isolation point,legacy-PT-STR2-U,instrumentation,mechanical or roof level,measurement or isolation support,record used for calculations or LOTO cross-check,none unless referenced by work order,trace identity support,active,supporting asset
AS-019,PT-STR2-D,instrument or isolation point,none,instrumentation,mechanical or roof level,measurement or isolation support,record used for calculations or LOTO cross-check,none unless referenced by work order,trace identity support,active,supporting asset
AS-020,PT-HX2-IN,instrument or isolation point,legacy-PT-HX2-IN,instrumentation,mechanical or roof level,measurement or isolation support,record used for calculations or LOTO cross-check,none unless referenced by work order,trace identity support,active,supporting asset
AS-021,PT-HX2-OUT,instrument or isolation point,none,instrumentation,mechanical or roof level,measurement or isolation support,record used for calculations or LOTO cross-check,none unless referenced by work order,trace identity support,active,supporting asset
AS-022,AI-MTR402-A,instrument or isolation point,legacy-AI-MTR402-A,instrumentation,mechanical or roof level,measurement or isolation support,record used for calculations or LOTO cross-check,none unless referenced by work order,trace identity support,active,supporting asset
AS-023,LOTO-CHW2-MAIN,instrument or isolation point,none,instrumentation,mechanical or roof level,measurement or isolation support,record used for calculations or LOTO cross-check,none unless referenced by work order,trace identity support,active,supporting asset
AS-024,LOTO-CT4-FAN,instrument or isolation point,legacy-LOTO-CT4-FAN,instrumentation,mechanical or roof level,measurement or isolation support,record used for calculations or LOTO cross-check,none unless referenced by work order,trace identity support,active,supporting asset
